local_timestamp,game,home_team,away_team,sportsbook,outcome_name,outcome_target,outcome_line,outcome_over_under,odds,link
1/21/26 11:49,"Texas A&M Aggies vs Mississippi Bulldogs, 2026-01-21, 09",Texas A&M Aggies,Mississippi Bulldogs,betmgm,Total,,163.5,O,-115,https://www.on.betmgm.ca/en/sports/events/18880662?options=18880662-1444089948--233010233&type=Single
1/21/26 11:48,"American Eagles vs Colgate Raiders, 2026-01-21, 07",American Eagles,Colgate Raiders,betmgm,Spread,American Eagles,-2.5,,-105,https://www.on.betmgm.ca/en/sports/events/18880727?options=18880727-1443812443--233730799&type=Single
1/21/26 11:48,"American Eagles vs Colgate Raiders, 2026-01-21, 07",American Eagles,Colgate Raiders,betmgm,Spread,Colgate Raiders,2.5,,-115,https://www.on.betmgm.ca/en/sports/events/18880727?options=18880727-1443812443--233730800&type=Single
1/21/26 11:48,"American Eagles vs Colgate Raiders, 2026-01-21, 07",American Eagles,Colgate Raiders,pinnacle,Spread,Colgate Raiders,4.5,,-162,
1/21/26 11:48,"American Eagles vs Colgate Raiders, 2026-01-21, 07",American Eagles,Colgate Raiders,pinnacle,Spread,American Eagles,-4.5,,127,
1/21/26 11:48,"American Eagles vs Colgate Raiders, 2026-01-21, 07",American Eagles,Colgate Raiders,pinnacle,Spread,Colgate Raiders,4,,-151,
1/21/26 11:48,"American Eagles vs Colgate Raiders, 2026-01-21, 07",American Eagles,Colgate Raiders,pinnacle,Spread,American Eagles,-4,,119,
1/21/26 11:48,"American Eagles vs Colgate Raiders, 2026-01-21, 07",American Eagles,Colgate Raiders,pinnacle,Spread,Colgate Raiders,3.5,,-140,
1/21/26 11:48,"American Eagles vs Colgate Raiders, 2026-01-21, 07",American Eagles,Colgate Raiders,pinnacle,Spread,American Eagles,-3.5,,111,
1/21/26 11:48,"American Eagles vs Colgate Raiders, 2026-01-21, 07",American Eagles,Colgate Raiders,pinnacle,Spread,American Eagles,-3,,102,
1/21/26 11:48,"American Eagles vs Colgate Raiders, 2026-01-21, 07",American Eagles,Colgate Raiders,pinnacle,Spread,Colgate Raiders,2.5,,-116,
1/21/26 11:48,"American Eagles vs Colgate Raiders, 2026-01-21, 07",American Eagles,Colgate Raiders,pinnacle,Spread,American Eagles,-2.5,,-104,
1/21/26 11:48,"American Eagles vs Colgate Raiders, 2026-01-21, 07",American Eagles,Colgate Raiders,pinnacle,Spread,Colgate Raiders,2,,-106,
1/21/26 11:48,"American Eagles vs Colgate Raiders, 2026-01-21, 07",American Eagles,Colgate Raiders,pinnacle,Spread,American Eagles,-2,,-118,
1/21/26 11:48,"American Eagles vs Colgate Raiders, 2026-01-21, 07",American Eagles,Colgate Raiders,pinnacle,Spread,Colgate Raiders,1.5,,103,
1/21/26 11:48,"American Eagles vs Colgate Raiders, 2026-01-21, 07",American Eagles,Colgate Raiders,pinnacle,Spread,American Eagles,-1.5,,-130,
1/21/26 11:48,"American Eagles vs Colgate Raiders, 2026-01-21, 07",American Eagles,Colgate Raiders,pinnacle,Spread,Colgate Raiders,1,,109,
1/21/26 11:48,"American Eagles vs Colgate Raiders, 2026-01-21, 07",American Eagles,Colgate Raiders,pinnacle,Spread,American Eagles,-1,,-137,
1/21/26 11:48,"American Eagles vs Colgate Raiders, 2026-01-21, 07",American Eagles,Colgate Raiders,pinnacle,Spread,Colgate Raiders,-1,,120,
1/21/26 11:48,"American Eagles vs Colgate Raiders, 2026-01-21, 07",American Eagles,Colgate Raiders,pinnacle,Spread,American Eagles,1,,-152,
1/21/26 11:48,"American Eagles vs Colgate Raiders, 2026-01-21, 07",American Eagles,Colgate Raiders,pinnacle,Spread,Colgate Raiders,3,,-129,
1/21/26 11:48,"American Eagles vs Colgate Raiders, 2026-01-21, 07",American Eagles,Colgate Raiders,draftkings,Spread,American Eagles,2.5,,-204,https://sportsbook.draftkings.com/event/colgate-%40-american/33499342?outcomes=0HC83077812P250_1
1/21/26 11:48,"American Eagles vs Colgate Raiders, 2026-01-21, 07",American Eagles,Colgate Raiders,draftkings,Spread,Colgate Raiders,-2.5,,147,https://sportsbook.draftkings.com/event/colgate-%40-american/33499342?outcomes=0HC83077812N250_3
1/21/26 11:48,"American Eagles vs Colgate Raiders, 2026-01-21, 07",American Eagles,Colgate Raiders,draftkings,Spread,American Eagles,3.5,,-241,https://sportsbook.draftkings.com/event/colgate-%40-american/33499342?outcomes=0HC83077812P350_1
1/21/26 11:48,"American Eagles vs Colgate Raiders, 2026-01-21, 07",American Eagles,Colgate Raiders,draftkings,Spread,Colgate Raiders,-3.5,,171,https://sportsbook.draftkings.com/event/colgate-%40-american/33499342?outcomes=0HC83077812N350_3
1/21/26 11:48,"American Eagles vs Colgate Raiders, 2026-01-21, 07",American Eagles,Colgate Raiders,draftkings,Spread,American Eagles,4.5,,-277,https://sportsbook.draftkings.com/event/colgate-%40-american/33499342?outcomes=0HC83077812P450_1
1/21/26 11:48,"American Eagles vs Colgate Raiders, 2026-01-21, 07",American Eagles,Colgate Raiders,draftkings,Spread,Colgate Raiders,-4.5,,193,https://sportsbook.draftkings.com/event/colgate-%40-american/33499342?outcomes=0HC83077812N450_3
1/21/26 11:48,"American Eagles vs Colgate Raiders, 2026-01-21, 07",American Eagles,Colgate Raiders,draftkings,Spread,American Eagles,5.5,,-322,https://sportsbook.draftkings.com/event/colgate-%40-american/33499342?outcomes=0HC83077812P550_1
1/21/26 11:48,"American Eagles vs Colgate Raiders, 2026-01-21, 07",American Eagles,Colgate Raiders,draftkings,Spread,Colgate Raiders,-5.5,,220,https://sportsbook.draftkings.com/event/colgate-%40-american/33499342?outcomes=0HC83077812N550_3
1/21/26 11:48,"American Eagles vs Colgate Raiders, 2026-01-21, 07",American Eagles,Colgate Raiders,draftkings,Spread,American Eagles,6.5,,-371,https://sportsbook.draftkings.com/event/colgate-%40-american/33499342?outcomes=0HC83077812P650_1
1/21/26 11:48,"American Eagles vs Colgate Raiders, 2026-01-21, 07",American Eagles,Colgate Raiders,draftkings,Spread,Colgate Raiders,-6.5,,247,https://sportsbook.draftkings.com/event/colgate-%40-american/33499342?outcomes=0HC83077812N650_3
1/21/26 11:48,"American Eagles vs Colgate Raiders, 2026-01-21, 07",American Eagles,Colgate Raiders,draftkings,Spread,American Eagles,7.5,,-421,https://sportsbook.draftkings.com/event/colgate-%40-american/33499342?outcomes=0HC83077812P750_1
1/21/26 11:48,"American Eagles vs Colgate Raiders, 2026-01-21, 07",American Eagles,Colgate Raiders,draftkings,Spread,Colgate Raiders,-7.5,,274,https://sportsbook.draftkings.com/event/colgate-%40-american/33499342?outcomes=0HC83077812N750_3
1/21/26 11:48,"American Eagles vs Colgate Raiders, 2026-01-21, 07",American Eagles,Colgate Raiders,draftkings,Spread,American Eagles,8.5,,-499,https://sportsbook.draftkings.com/event/colgate-%40-american/33499342?outcomes=0HC83077812P850_1
1/21/26 11:48,"American Eagles vs Colgate Raiders, 2026-01-21, 07",American Eagles,Colgate Raiders,draftkings,Spread,Colgate Raiders,-8.5,,312,https://sportsbook.draftkings.com/event/colgate-%40-american/33499342?outcomes=0HC83077812N850_3
1/21/26 11:48,"American Eagles vs Colgate Raiders, 2026-01-21, 07",American Eagles,Colgate Raiders,draftkings,Spread,Colgate Raiders,-1.5,,129,https://sportsbook.draftkings.com/event/colgate-%40-american/33499342?outcomes=0HC83077812N150_3
1/21/26 11:48,"American Eagles vs Colgate Raiders, 2026-01-21, 07",American Eagles,Colgate Raiders,draftkings,Spread,American Eagles,9.5,,-600,https://sportsbook.draftkings.com/event/colgate-%40-american/33499342?outcomes=0HC83077812P950_1
1/21/26 11:48,"American Eagles vs Colgate Raiders, 2026-01-21, 07",American Eagles,Colgate Raiders,draftkings,Spread,American Eagles,10.5,,-730,https://sportsbook.draftkings.com/event/colgate-%40-american/33499342?outcomes=0HC83077812P1050_1
1/21/26 11:48,"American Eagles vs Colgate Raiders, 2026-01-21, 07",American Eagles,Colgate Raiders,draftkings,Spread,Colgate Raiders,-10.5,,411,https://sportsbook.draftkings.com/event/colgate-%40-american/33499342?outcomes=0HC83077812N1050_3
1/21/26 11:48,"American Eagles vs Colgate Raiders, 2026-01-21, 07",American Eagles,Colgate Raiders,draftkings,Spread,American Eagles,11.5,,-890,https://sportsbook.draftkings.com/event/colgate-%40-american/33499342?outcomes=0HC83077812P1150_1
1/21/26 11:48,"American Eagles vs Colgate Raiders, 2026-01-21, 07",American Eagles,Colgate Raiders,draftkings,Spread,Colgate Raiders,-11.5,,467,https://sportsbook.draftkings.com/event/colgate-%40-american/33499342?outcomes=0HC83077812N1150_3
1/21/26 11:48,"American Eagles vs Colgate Raiders, 2026-01-21, 07",American Eagles,Colgate Raiders,draftkings,Spread,American Eagles,-2.5,,-108,https://sportsbook.draftkings.com/event/colgate-%40-american/33499342?outcomes=0HC83076236N250_1
1/21/26 11:48,"American Eagles vs Colgate Raiders, 2026-01-21, 07",American Eagles,Colgate Raiders,draftkings,Spread,Colgate Raiders,2.5,,-112,https://sportsbook.draftkings.com/event/colgate-%40-american/33499342?outcomes=0HC83076236P250_3
1/21/26 11:48,"American Eagles vs Colgate Raiders, 2026-01-21, 07",American Eagles,Colgate Raiders,draftkings,Spread,Colgate Raiders,-9.5,,359,https://sportsbook.draftkings.com/event/colgate-%40-american/33499342?outcomes=0HC83077812N950_3
1/21/26 11:48,"American Eagles vs Colgate Raiders, 2026-01-21, 07",American Eagles,Colgate Raiders,draftkings,Spread,American Eagles,1.5,,-177,https://sportsbook.draftkings.com/event/colgate-%40-american/33499342?outcomes=0HC83077812P150_1
1/21/26 11:48,"American Eagles vs Colgate Raiders, 2026-01-21, 07",American Eagles,Colgate Raiders,draftkings,Spread,American Eagles,-1.5,,-132,https://sportsbook.draftkings.com/event/colgate-%40-american/33499342?outcomes=0HC83077812N150_1
1/21/26 11:48,"American Eagles vs Colgate Raiders, 2026-01-21, 07",American Eagles,Colgate Raiders,draftkings,Spread,American Eagles,-14.5,,465,https://sportsbook.draftkings.com/event/colgate-%40-american/33499342?outcomes=0HC83077812N1450_1
1/21/26 11:48,"American Eagles vs Colgate Raiders, 2026-01-21, 07",American Eagles,Colgate Raiders,draftkings,Spread,Colgate Raiders,14.5,,-890,https://sportsbook.draftkings.com/event/colgate-%40-american/33499342?outcomes=0HC83077812P1450_3
1/21/26 11:48,"American Eagles vs Colgate Raiders, 2026-01-21, 07",American Eagles,Colgate Raiders,draftkings,Spread,American Eagles,-13.5,,397,https://sportsbook.draftkings.com/event/colgate-%40-american/33499342?outcomes=0HC83077812N1350_1
1/21/26 11:48,"American Eagles vs Colgate Raiders, 2026-01-21, 07",American Eagles,Colgate Raiders,draftkings,Spread,Colgate Raiders,13.5,,-700,https://sportsbook.draftkings.com/event/colgate-%40-american/33499342?outcomes=0HC83077812P1350_3
1/21/26 11:48,"American Eagles vs Colgate Raiders, 2026-01-21, 07",American Eagles,Colgate Raiders,draftkings,Spread,American Eagles,-12.5,,347,https://sportsbook.draftkings.com/event/colgate-%40-american/33499342?outcomes=0HC83077812N1250_1
